timeSec,latitude,longitude,altitude,pitchDeg,yawDeg,speed,altitudeSpeedException,angleSpeedException
0,60.169900,24.938400,3200,-2.0,118,245,0,0
1,60.169600,24.939100,3168,-2.2,118,244,0,0
2,60.169300,24.939800,3135,-2.4,118,244,0,0
3,60.169000,24.940500,3101,-2.5,118,243,0,0
4,60.168700,24.941200,3066,-2.8,118,243,0,0
5,60.168400,24.941900,3030,-3.0,118,242,0,0
6,60.168100,24.942600,2993,-3.1,118,242,0,0
7,60.167800,24.943300,2955,-3.3,118,241,0,0
8,60.167500,24.944000,2916,-3.5,118,241,0,0
9,60.167200,24.944700,2876,-3.8,118,240,0,0
10,60.166900,24.945400,2835,-4.0,118,240,0,0
11,60.166600,24.946100,2793,-4.2,118,239,0,0
12,60.166300,24.946800,2750,-4.4,118,239,0,0
13,60.166000,24.947500,2706,-4.7,118,238,0,0
14,60.165700,24.948200,2661,-5.0,118,238,0,0
15,60.165400,24.948900,2615,-5.3,118,237,0,0
16,60.165100,24.949600,2568,-5.5,118,237,0,0
17,60.164800,24.950300,2520,-5.7,118,236,0,0
18,60.164500,24.951000,2471,-6.0,118,236,0,0
19,60.164200,24.951700,2421,-6.2,118,235,0,0
20,60.163900,24.952400,2370,-6.5,118,235,0,0
21,60.163600,24.953100,2318,-6.7,118,234,0,0
22,60.163300,24.953800,2265,-7.0,118,234,0,0
23,60.163000,24.954500,2211,-7.2,118,233,0,0
24,60.162700,24.955200,2156,-7.5,118,232,0,0
25,60.162400,24.955900,2100,-8.0,118,231,1,0
26,60.162100,24.956600,2043,-8.2,118,229,1,0
27,60.161800,24.957300,1985,-8.4,118,228,1,0
28,60.161500,24.958000,1926,-8.6,118,227,1,0
29,60.161200,24.958700,1866,-8.8,118,226,1,0
30,60.160900,24.959400,1805,-9.0,118,225,1,0
31,60.160600,24.960100,1743,-9.3,118,224,1,0
32,60.160300,24.960800,1680,-9.5,118,223,1,0
33,60.160000,24.961500,1616,-9.8,118,222,1,0
34,60.159700,24.962200,1551,-10.0,118,221,1,0
35,60.159400,24.962900,1485,-10.5,120,219,1,1
36,60.159050,24.963620,1417,-11.0,121,216,1,1
37,60.158680,24.964360,1347,-11.8,122,213,1,1
38,60.158290,24.965120,1275,-12.5,123,210,1,1
39,60.157880,24.965900,1201,-13.0,124,207,1,1
40,60.157450,24.966700,1125,-13.8,125,204,1,1
41,60.157000,24.967520,1047,-14.5,126,201,1,1
42,60.156530,24.968360,967,-15.0,127,198,1,1
43,60.156040,24.969220,885,-15.7,128,194,1,1
44,60.155530,24.970100,801,-16.5,129,191,1,1
45,60.155000,24.971000,715,-17.0,130,188,1,1
46,60.154450,24.971920,627,-17.8,131,184,1,1
47,60.153880,24.972860,537,-18.5,132,180,1,1
48,60.153290,24.973820,445,-19.0,133,176,1,1
49,60.152680,24.974800,351,-20.0,134,171,1,1
50,60.152050,24.975800,255,-21.0,135,166,1,1
51,60.151400,24.976820,157,-22.0,136,160,1,1
52,60.150730,24.977860,57,-23.0,137,154,1,1
53,60.150040,24.978920,0,-24.0,138,148,1,1
